dataset,algorithm,clients,capacity,routes_used,total_length,valid,time_ms
A-n69-k9,sa,68,100,9,1197.34,YES,0.649292
A-n69-k9,ts,68,100,9,1182.83,YES,2.82217
A-n80-k10,cw,79,100,10,1836.84,YES,0.153666
A-n80-k10,cw2opt,79,100,10,1828.87,YES,0.166
A-n80-k10,hybrid,79,100,10,1820.87,YES,0.798875
A-n80-k10,nn,79,100,10,2255.46,YES,0.018625
A-n80-k10,sa,79,100,10,1828.87,YES,0.724709
A-n80-k10,ts,79,100,10,1818.99,YES,2.60758
C101,cw,100,200,10,838.867,YES,0.23725
C101,cw2opt,100,200,10,826.072,YES,0.2435
C101,hybrid,100,200,10,821.11,YES,1.04854
C101,nn,100,200,10,1311.5,YES,0.019958
C101,sa,100,200,10,826.072,YES,0.872083
C101,ts,100,200,10,821.999,YES,7.02067
C102,cw,100,200,10,838.867,YES,0.234834
C102,cw2opt,100,200,10,826.072,YES,0.247375
C102,hybrid,100,200,10,821.11,YES,1.04779
C102,nn,100,200,10,1311.5,YES,0.020042
C102,sa,100,200,10,826.072,YES,0.898917
C102,ts,100,200,10,821.999,YES,6.82192
C103,cw,100,200,10,838.867,YES,0.245917
C103,cw2opt,100,200,10,826.072,YES,0.242792
C103,hybrid,100,200,10,821.11,YES,0.993042
C103,nn,100,200,10,1311.5,YES,0.019166
C103,sa,100,200,10,826.072,YES,0.915917
C103,ts,100,200,10,821.999,YES,6.75875
C104,cw,100,200,10,838.867,YES,0.232
C104,cw2opt,100,200,10,826.072,YES,0.243667
C104,hybrid,100,200,10,821.11,YES,1.05196
C104,nn,100,200,10,1311.5,YES,0.019958
C104,sa,100,200,10,826.072,YES,0.920667
C104,ts,100,200,10,821.999,YES,6.68871
C105,cw,100,200,10,838.867,YES,0.228917
C105,cw2opt,100,200,10,826.072,YES,0.243
C105,hybrid,100,200,10,821.11,YES,1.01925
C105,nn,100,200,10,1311.5,YES,0.018958
C105,sa,100,200,10,826.072,YES,0.913
C105,ts,100,200,10,821.999,YES,6.88042
C106,cw,100,200,10,838.867,YES,0.242084
C106,cw2opt,100,200,10,826.072,YES,0.249666
C106,hybrid,100,200,10,821.11,YES,1.04221
C106,nn,100,200,10,1311.5,YES,0.019417
C106,sa,100,200,10,826.072,YES,0.865708
C106,ts,100,200,10,821.999,YES,6.5785
C107,cw,100,200,10,838.867,YES,0.23575
C107,cw2opt,100,200,10,826.072,YES,0.2255
C107,hybrid,100,200,10,821.11,YES,0.983083
C107,nn,100,200,10,1311.5,YES,0.019
C107,sa,100,200,10,826.072,YES,0.946041
C107,ts,100,200,10,821.999,YES,6.80304
C108,cw,100,200,10,838.867,YES,0.221917
C108,cw2opt,100,200,10,826.072,YES,0.222541
C108,hybrid,100,200,10,821.11,YES,1.03854
C108,nn,100,200,10,1311.5,YES,0.020542
C108,sa,100,200,10,826.072,YES,0.910083
C108,ts,100,200,10,821.999,YES,6.54208
C109,cw,100,200,10,838.867,YES,0.236959
C109,cw2opt,100,200,10,826.072,YES,0.237708
C109,hybrid,100,200,10,821.11,YES,0.989417
C109,nn,100,200,10,1311.5,YES,0.020208
C109,sa,100,200,10,826.072,YES,0.8965
C109,ts,100,200,10,821.999,YES,6.69987
C201,cw,100,700,3,632.432,YES,0.252708
C201,cw2opt,100,700,3,594,YES,0.254
C201,hybrid,100,700,3,584.235,YES,1.49479
C201,nn,100,700,3,775.487,YES,0.016541
C201,sa,100,700,3,588.381,YES,1.29888
C201,ts,100,700,3,592.83,YES,6.02442
C202,cw,100,700,3,632.432,YES,0.241542
C202,cw2opt,100,700,3,594,YES,0.2515
C202,hybrid,100,700,3,584.235,YES,1.43237
C202,nn,100,700,3,775.487,YES,0.016292
C202,sa,100,700,3,588.381,YES,1.2715
C202,ts,100,700,3,592.83,YES,5.70154
C203,cw,100,700,3,632.432,YES,0.256375
C203,cw2opt,100,700,3,594,YES,0.245792
C203,hybrid,100,700,3,584.235,YES,1.40733
C203,nn,100,700,3,775.487,YES,0.016542
C203,sa,100,700,3,588.381,YES,1.35238
C203,ts,100,700,3,592.83,YES,6.12937
C204,cw,100,700,3,632.432,YES,0.244208
C204,cw2opt,100,700,3,594,YES,0.243292
C204,hybrid,100,700,3,584.235,YES,1.47854
C204,nn,100,700,3,775.487,YES,0.017584
C204,sa,100,700,3,588.381,YES,1.24775
C204,ts,100,700,3,592.83,YES,5.73133
C205,cw,100,700,3,632.432,YES,0.235334
C205,cw2opt,100,700,3,594,YES,0.261667
C205,hybrid,100,700,3,584.235,YES,1.44167
C205,nn,100,700,3,775.487,YES,0.017
C205,sa,100,700,3,588.381,YES,1.28788
C205,ts,100,700,3,592.83,YES,5.8355
C206,cw,100,700,3,632.432,YES,0.253084
C206,cw2opt,100,700,3,594,YES,0.265667
C206,hybrid,100,700,3,584.235,YES,1.40396
C206,nn,100,700,3,775.487,YES,0.016292
C206,sa,100,700,3,588.381,YES,1.27921
C206,ts,100,700,3,592.83,YES,6.01783
C207,cw,100,700,3,632.432,YES,0.251542
C207,cw2opt,100,700,3,594,YES,0.244625
C207,hybrid,100,700,3,584.235,YES,1.49313
C207,nn,100,700,3,775.487,YES,0.016709
C207,sa,100,700,3,588.381,YES,1.32025
C207,ts,100,700,3,592.83,YES,5.74333
C208,cw,100,700,3,632.432,YES,0.243667
C208,cw2opt,100,700,3,594,YES,0.2575
C208,hybrid,100,700,3,584.235,YES,1.43729
C208,nn,100,700,3,775.487,YES,0.016833
C208,sa,100,700,3,588.381,YES,1.34317
C208,ts,100,700,3,592.83,YES,5.74483
R101,cw,100,200,8,877.935,YES,0.261959
R101,cw2opt,100,200,8,869.675,YES,0.244791
R101,hybrid,100,200,8,859.087,YES,1.01175
R101,nn,100,200,8,1174.36,YES,0.02275
R101,sa,100,200,8,869.675,YES,0.84275
R101,ts,100,200,8,860.682,YES,4.72008
R102,cw,100,200,8,877.935,YES,0.256958
